,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,zeros,zeros+1
14790,BDCQ.SEE1036A,2024,5276.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14791,BDCQ.SEE1036A,2025,5127.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14792,BDCQ.SEE1037A,2011,17132.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14793,BDCQ.SEE1037A,2011,16957.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14794,BDCQ.SEE1037A,2011,17082.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14795,BDCQ.SEE1037A,2012,16734.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14796,BDCQ.SEE1037A,2012,17060.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14797,BDCQ.SEE1037A,2012,16871.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14798,BDCQ.SEE1037A,2012,17159.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14799,BDCQ.SEE1037A,2013,16979.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14800,BDCQ.SEE1037A,2013,16962.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14801,BDCQ.SEE1037A,2013,16687.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14802,BDCQ.SEE1037A,2013,17053.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14803,BDCQ.SEE1037A,2014,16841.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14804,BDCQ.SEE1037A,2014,16851.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
